Wall time,Step,Value
1711662391.0401173,3099,60.865135192871094
1711662521.2915602,8819,149.0262908935547
1711662560.2291684,10266,168.3466033935547
1711662635.4638612,12100,180.65541076660156
1711662661.2435439,12558,183.35360717773438
1711662666.7879004,12657,183.6066436767578
1711662694.80626,13216,185.67208862304688
1711662726.5774963,13820,172.16229248046875
1711662731.871197,13927,175.10061645507812
1711662780.8419454,14794,149.30299377441406
1711662792.6754568,14987,150.5163116455078
1711662810.1840591,15251,127.88917541503906
1711662839.7133837,15693,113.1821517944336
1711662889.3017502,16524,39.3842887878418
1711662901.2078164,16737,28.345218658447266
1711662912.9403274,16999,-19.61769676208496
1711662935.8067415,17611,-98.5876235961914
1711662969.3791893,18580,-175.3146209716797
1711662984.6788306,19147,-199.76246643066406
1711662994.4829485,19519,-212.37930297851562
1711663027.9047358,20514,-218.4000244140625
1711663052.3903077,21185,-232.05801391601562
1711663058.906691,21386,-229.3379364013672
1711663061.1005888,21437,-225.63531494140625
1711663078.625975,21928,-231.90943908691406
1711663112.9746976,22610,-237.9632110595703
1711663146.0744212,23201,-259.5967102050781
1711663151.0738268,23311,-278.903564453125
1711663151.7846332,23323,-274.5733642578125
1711663163.377775,23532,-280.28729248046875
1711663177.0276642,23788,-307.9421081542969
1711663246.9133477,25032,-398.88958740234375
1711663256.3601062,25217,-396.2725524902344
1711663278.6426983,25621,-426.2314453125
1711663319.9431288,26361,-460.13702392578125
1711663326.5739148,26469,-486.66766357421875
1711663342.0374095,26738,-488.67620849609375
1711663390.4276905,27972,-444.69366455078125
1711663584.5320196,38058,-315.6707763671875
1711663599.5148337,38697,-328.9418029785156
1711663609.0032678,38949,-432.6565856933594
1711663622.9528263,39242,-469.6429748535156
1711663633.5615993,39487,-479.9731750488281
1711663664.0150108,40150,-544.5540161132812
1711663674.230598,40533,-565.532470703125
1711663680.3992865,40790,-568.027099609375
1711663702.6364303,41847,-682.3095703125
1711663716.1728299,42505,-717.1603393554688
1711663729.4955945,43039,-728.6931762695312
1711663738.2991521,43370,-758.4094848632812
1711663787.425366,45273,-800.708740234375
1711663832.1685975,46998,-804.6614379882812
