Wall time,Step,Value
1711662391.0401397,3099,298.1206359863281
1711662521.2915683,8819,29.53620147705078
1711662560.229177,10266,13.589975357055664
1711662635.463873,12100,22.245723724365234
1711662661.2435522,12558,30.923019409179688
1711662666.7879083,12657,16.40154266357422
1711662694.8062718,13216,44.00608825683594
1711662726.5775056,13820,57.33654022216797
1711662731.8712049,13927,56.144290924072266
1711662780.8419533,14794,9097.6201171875
1711662792.6754696,14987,200.122314453125
1711662810.1840677,15251,495.6795654296875
1711662839.713391,15693,8244.32421875
1711662889.3017657,16524,15435.80078125
1711662901.2078238,16737,42939.58984375
1711662912.9403417,16999,20385.126953125
1711662935.8067486,17611,18936.75
1711662969.3791966,18580,18070.30859375
1711662984.6788385,19147,19424.251953125
1711662994.4829571,19519,28444.19140625
1711663027.9047525,20514,17762.0859375
1711663052.3903153,21185,27888.1796875
1711663058.906699,21386,23275.171875
1711663061.100597,21437,32207.01171875
1711663078.6259887,21928,23618.23828125
1711663112.9747055,22610,25075.853515625
1711663146.0744293,23201,31253.51171875
1711663151.0738344,23311,43345.8828125
1711663151.7846406,23323,30106.794921875
1711663163.3777835,23532,26479.251953125
1711663177.0276723,23788,28692.078125
1711663246.9133556,25032,46063.7890625
1711663256.360114,25217,58427.26171875
1711663278.6427069,25621,35858.40625
1711663319.9431398,26361,54577.3984375
1711663326.5739226,26469,63515.1796875
1711663342.037417,26738,95671.015625
1711663390.427698,27972,58583.0703125
1711663584.5320277,38058,32966.171875
1711663599.5148454,38697,40120.734375
1711663609.003275,38949,56682.73828125
1711663622.9528332,39242,34650.5390625
1711663633.5616066,39487,63922.2109375
1711663664.0150192,40150,54874.2734375
1711663674.2306108,40533,53516.14453125
1711663680.3992941,40790,63289.6796875
1711663702.6364381,41847,59455.734375
1711663716.172838,42505,66129.25
1711663729.4956024,43039,62171.64453125
1711663738.2991674,43370,46684.7109375
1711663787.4253736,45273,52842.02734375
1711663832.1686103,46998,52308.8203125
1711663834.878944,47119,53465.0546875
1711663865.4937906,48609,53731.921875
1711663875.5852873,49104,50138.83203125
1711664031.8584757,56416,61518.0703125
1711664062.681052,57463,58805.10546875
1711664107.0478241,59059,52015.7265625
1711664149.8945785,60591,49769.73046875
1711664151.056215,60636,61401.734375
1711664191.7772682,62259,62007.3671875
1711664210.4892,62982,60666.41796875
1711664213.694759,63098,60147.1171875
1711664250.5587938,64462,61686.61328125
1711664253.5016093,64575,58255.71484375
1711664267.7519398,65145,58126.359375
1711664298.1247084,66293,52566.23828125
1711664330.5688555,67574,54078.94921875
1711664338.7952394,67892,57320.00390625
1711664381.0131342,69684,36605.3671875
1711664398.4347167,70305,44960.2421875
1711664417.32656,71044,38041.7109375
1711664419.7014835,71132,61908.953125
1711664426.9290411,71400,49391.07421875
1711664494.6428578,74041,50685.31640625
1711664567.8534117,76780,42476.24609375
1711664581.8915422,77290,58656.6953125
1711664623.3242624,78827,43414.58203125
1711664633.5011208,79174,68849.1015625
1711664668.3216183,80470,53238.83203125
1711664688.9381318,81240,64209.8671875
1711664689.9120414,81281,67653.3828125
1711664709.7549584,82092,46348.5859375
1711664814.862376,86096,36664.04296875
1711664825.4990578,86462,41365.92578125
1711664837.6516824,86879,57203.0703125
1711664851.4234614,87424,44153.34765625
1711664987.5068297,92816,42128.7734375
1711665114.9848166,97485,50210.1953125
1711665161.136144,99198,63656.65625
1711665251.6049097,102645,49562.72265625
1711665257.2927804,102866,55343.44921875
1711665270.966709,103391,51072.80078125
1711665279.6534681,103704,59127.828125
1711665283.0666616,103827,46365.0078125
1711665306.3588994,104631,55353.890625
1711665328.13878,105369,46805.23828125
1711665344.283007,105920,49148.59765625
1711665360.5906525,106510,30835.591796875
1711665421.717341,108862,38903.35546875
1711665422.7191467,108897,41560.15625
1711665444.5861964,109644,43610.23828125
1711665474.1901562,110713,46719.484375
1711665482.7543213,111014,35209.15625
1711665491.8321266,111327,33977.62109375
1711665551.923658,113933,45316.50390625
1711665562.6947503,114348,49625.3828125
1711665578.0363169,114889,43269.7421875
1711665587.170095,115196,50123.8828125
1711665609.8551517,115988,37044.38671875
1711665624.199,116521,36923.94921875
1711665625.16944,116556,38017.1328125
1711665626.2364209,116594,44296.2109375
1711665639.1762726,117065,35531.3671875
1711665658.1107507,117798,45105.16796875
1711665687.9082634,118919,41643.171875
1711665726.202966,120360,35635.8671875
1711665747.620593,121187,40562.78125
1711665879.961122,125994,34787.0546875
1711665987.1873488,129676,40672.1484375
1711665988.0021753,129702,57270.19140625
1711666007.697729,130385,37492.0859375
1711666008.6378062,130415,43702.984375
1711666022.6101472,130868,41438.35546875
1711666048.2491846,131797,35191.72265625
1711666102.5503454,133738,40182.5
1711666120.7910075,134374,28701.72265625
1711666142.321641,135085,56502.55859375
1711666165.7159455,135890,32190.162109375
1711666168.6053023,135982,33322.1953125
1711666257.2901566,139125,33524.48046875
1711666308.923202,141054,32363.49609375
1711666366.8293526,143102,28642.58203125
1711666386.7378497,143762,40418.4921875
1711666394.9567666,144053,44756.4765625
1711666404.7860851,144432,39239.01953125
1711666428.5274043,145253,32487.46875
1711666469.7467444,146744,32899.4375
1711666472.3619354,146836,38625.93359375
1711666504.8467567,147929,43711.75390625
1711666520.9581099,148493,25687.201171875
1711666560.3170853,149773,25657.341796875
1711666564.1088347,149908,16278.4736328125
1711666568.5232985,150056,23563.146484375
1711666576.1400013,150307,29250.73046875
1711666579.6530163,150419,28061.9140625
1711666601.2523422,151185,43785.0234375
1711666623.840436,151933,32730.92578125
1711666673.9345248,153720,35696.546875
1711666693.7055516,154411,38646.25390625
1711666755.9409556,156597,34131.79296875
1711666757.6616883,156655,32439.654296875
1711666802.9422565,158192,45240.48828125
1711666813.917327,158552,38390.6953125
1711666819.5207596,158748,32338.591796875
1711666830.0473654,159095,31753.134765625
1711666866.6199222,160344,21374.361328125
1711666902.0829806,161619,32656.912109375
1711666913.5260823,162014,29975.677734375
1711666936.7989225,162866,28711.115234375
1711666970.4383194,164027,45129.96484375
1711666991.6834865,164708,35618.90234375
1711667001.5430133,165027,31882.396484375
1711667004.204276,165116,39924.546875
1711667024.2791371,165831,26932.599609375
1711667057.3294337,167063,37200.75
1711667067.8145742,167439,44931.08203125
1711667100.32605,168561,38854.96875
1711667147.8416922,170754,28303.31640625
1711667209.620799,173057,41620.390625
1711667220.2777965,173437,42590.96484375
1711667343.257834,177944,25831.4296875
1711667416.7005568,180553,29211.923828125
1711667420.4583998,180681,29089.40234375
1711667444.1451697,181519,30140.966796875
1711667489.517246,183129,30821.71875
1711667522.990294,184384,31132.654296875
1711667555.3699832,185416,56387.95703125
1711667556.898357,185467,34043.58203125
1711667561.1326294,185599,42137.078125
1711667569.10738,185852,35749.81640625
1711667588.6636357,186545,26223.64453125
1711667631.5539854,188177,39210.1953125
1711667681.7769902,190017,39123.47265625
1711667684.988843,190151,26522.138671875
1711667686.103561,190197,38064.12109375
1711667696.760263,190677,29428.154296875
1711667759.6274974,193863,35409.078125
1711667781.7275288,194569,37479.77734375
1711667798.6176581,195155,28277.99609375
1711667816.5471027,195787,27321.23828125
1711667843.321783,196720,43842.83984375
1711667921.4803858,199324,26052.705078125
1711667928.6053045,199575,36272.5390625
1711667930.12734,199628,33990.19140625
1711667963.4479656,200797,42688.12109375
1711667966.6806622,200916,36838.37890625
1711667979.421134,201362,39457.88671875
1711667982.301637,201455,45921.25
1711668008.3541577,202379,26647.203125
1711668019.2686496,202774,23825.373046875
1711668040.1268258,203502,32681.27734375
1711668050.7574584,203871,38639.3984375
1711668062.7902086,204288,35007.53515625
1711668069.7574716,204509,35951.50390625
1711668098.271274,205532,43218.859375
1711668119.8991194,206354,30254.666015625
1711668122.779589,206464,22209.166015625
1711668162.5791802,208030,26933.87109375
1711668170.8421419,208369,25608.87109375
1711668211.018698,210048,20705.859375
1711668245.3866665,211204,28692.04296875
1711668251.7307947,211396,47597.9140625
1711668255.199037,211498,44234.0078125
1711668290.1205077,212529,27753.169921875
1711668415.2086613,216648,18584.685546875
1711668527.6185226,222306,26653.86328125
1711668561.845604,223800,29189.064453125
1711668608.1886022,226295,16473.08203125
1711668655.2083232,227977,43373.1875
1711668685.9281077,229012,29789.994140625
1711668696.7689116,229357,30647.626953125
1711668758.2401671,231317,13680.955078125
1711668778.5195968,231958,31378.857421875
1711668792.0023997,232416,19890.451171875
1711668803.455841,232827,23469.548828125
1711668857.1983984,235074,18976.037109375
1711668911.5530217,236955,31858.779296875
