Wall time,Step,Value
1712111608.1302428,688,-62.166229248046875
1712111616.3285882,1076,-63.96993637084961
1712111653.5090315,2805,-64.46592712402344
1712111660.5675194,3119,-64.95211029052734
1712111702.6086292,5029,-67.45518493652344
1712111719.6523697,5856,-70.54588317871094
1712111846.722388,11939,-66.6462173461914
1712111850.763545,12133,-67.62709045410156
1712111967.7019885,17834,-67.7154312133789
1712111970.0577745,17929,-67.92438507080078
1712111988.5195522,18849,-69.93798065185547
1712111992.083824,18994,-71.04681396484375
1712112042.1650062,21418,-69.2050552368164
1712112060.178893,22292,-68.32893371582031
1712112120.0898013,25128,-69.2541732788086
1712112123.9578693,25298,-69.03944396972656
1712112167.4937508,27349,-65.61767578125
1712112180.6346464,27965,-66.56343841552734
1712112183.9715984,28095,-65.38723754882812
1712112240.3518865,30812,-69.17864227294922
1712112255.0132947,31489,-69.01361846923828
1712112324.5001402,34760,-64.85773468017578
1712112370.8807778,36868,-70.83627319335938
1712112378.4342418,37244,-72.25615692138672
1712112405.3085415,38552,-68.67581176757812
1712112426.9324522,39644,-74.15525817871094
1712112507.6604488,43530,-68.69542694091797
1712112543.2640562,45204,-71.19190216064453
1712112593.1376169,47513,-70.47901153564453
1712112624.1319952,48943,-66.0565414428711
1712112660.444759,50515,-70.29490661621094
1712112681.785515,51318,-59.47970199584961
1712112695.9889739,51876,-57.497920989990234
1712112696.797149,51909,-57.69757843017578
1712112711.2329628,52477,-61.83243942260742
1712112764.0433023,54096,-59.706016540527344
1712112766.8954983,54174,-58.84406661987305
1712112775.317996,54417,-60.9770622253418
1712112776.1394699,54442,-61.25445556640625
1712112779.5888107,54531,-61.64530944824219
1712112796.9918258,55025,-58.24443054199219
1712112810.5739627,55438,-56.56514358520508
1712112834.275609,56135,-60.97845458984375
1712112866.294965,57128,-42.896812438964844
1712112868.3963664,57189,-42.41233825683594
1712112870.8326645,57277,-41.84071731567383
1712112887.6746569,57789,-39.832725524902344
1712112901.2384207,58202,-44.042701721191406
1712112911.6986873,58514,-37.74650192260742
1712112932.5952246,59169,-38.02420425415039
1712112936.8800232,59296,-39.84149169921875
1712112947.5850906,59614,-50.729896545410156
1712112948.2191036,59632,-50.37976837158203
1712112966.1611998,60132,-53.802921295166016
1712112970.7425597,60253,-52.93361282348633
1712112971.5723252,60277,-53.400848388671875
1712112972.872854,60317,-54.03025817871094
1712113032.9427838,61997,-59.348785400390625
1712113044.1941745,62310,-60.17817306518555
1712113056.1409535,62628,-58.520137786865234
1712113064.2887173,62842,-59.79037094116211
1712113098.8767047,63784,-58.8080940246582
1712113151.2437203,65203,-68.29790496826172
1712113186.0197978,66116,-50.1743278503418
1712113188.9937546,66188,-49.273189544677734
1712113262.067166,68175,-59.99052047729492
1712113283.8061392,68749,-57.174705505371094
1712113285.2857552,68789,-53.346614837646484
1712113308.9782112,69432,-63.85490798950195
1712113314.0245745,69569,-61.82883071899414
1712113343.5178719,70392,-51.983238220214844
1712113358.0744224,70811,-34.82392501831055
1712113359.341186,70855,-27.87006950378418
1712113363.7895088,70994,-30.851064682006836
1712113373.2234626,71253,-40.790283203125
1712113417.8539574,72579,-29.420047760009766
1712113419.6570566,72638,-29.474576950073242
1712113420.6107316,72667,-32.98955154418945
1712113425.933112,72833,-38.02391815185547
1712113430.3710024,72985,-39.00926971435547
1712113442.212156,73333,-38.35877990722656
1712113464.2920473,74048,-42.536720275878906
1712113467.664028,74152,-42.1357536315918
1712113485.6741228,74698,-40.565975189208984
1712113488.541899,74790,-39.34086227416992
1712113490.046085,74836,-39.60211181640625
1712113504.6706913,75282,-38.7462043762207
1712113520.8628483,75811,-36.63041305541992
1712113532.2097766,76138,-39.422367095947266
1712113572.2179527,77457,-38.43061447143555
1712113604.2537937,78532,-38.37375259399414
1712113623.4682744,79154,-47.43800354003906
1712113637.2276926,79648,-38.6401252746582
1712113640.523492,79763,-37.025108337402344
1712113649.2336092,80074,-42.71455764770508
1712113702.0167494,82893,-35.662750244140625
1712113705.181914,83028,-35.852081298828125
1712113722.4020238,83940,-47.634437561035156
1712113741.5628488,85005,-39.748600006103516
1712113755.9583793,85788,-44.27531051635742
1712113763.396156,86179,-37.855751037597656
1712113775.9507217,86904,-42.96163558959961
1712113790.3400166,87592,-47.794307708740234
1712113792.2905188,87715,-48.091182708740234
1712113801.0594196,88194,-48.457035064697266
1712113806.1733272,88480,-49.306339263916016
1712113818.8653052,89122,-47.2518196105957
1712113819.3394504,89148,-47.077030181884766
