Wall time,Step,Value
1712199037.8703015,399,-69.9754867553711
1712199063.990996,1469,-53.643680572509766
1712199091.4188519,2497,-54.139976501464844
1712199128.0411077,3869,-54.02539825439453
1712199170.710471,5571,-60.519020080566406
1712199178.5958304,5899,-59.184112548828125
1712199190.4337358,6386,-63.65026092529297
1712199255.7007701,9109,-65.00904083251953
1712199262.7495499,9406,-69.0560302734375
1712199273.7833586,9850,-56.0241813659668
1712199287.1803882,10389,-59.69429397583008
1712199311.419015,11359,-58.68464279174805
1712199323.6707137,11870,-71.99308013916016
1712199325.8016827,11951,-69.8520278930664
1712199335.6219335,12374,-66.45329284667969
1712199358.1093385,13326,-57.90599822998047
1712199378.3545496,14186,-75.23499298095703
1712199380.9401264,14284,-66.31320190429688
1712199387.9931493,14569,-68.2437744140625
1712199444.818526,16938,-61.540096282958984
1712199465.2206662,17821,-65.95469665527344
1712199497.8942893,19258,-58.075687408447266
1712199508.678919,19685,-75.29106140136719
1712199574.1462238,22479,-79.06578063964844
1712199580.689933,22740,-64.39025115966797
1712199585.3935797,22912,-63.50705337524414
1712199630.21104,24793,-50.917232513427734
1712199633.6927576,24924,-49.92708206176758
1712199643.6933644,25360,-64.59507751464844
1712199650.3507376,25641,-66.9072494506836
1712199656.2921274,25878,-56.464820861816406
1712199660.1191156,26047,-40.9289665222168
1712199697.7805982,27602,-64.5932388305664
1712199698.6752791,27644,-64.89366912841797
1712199705.6981845,27946,-53.73543167114258
1712199707.9705243,28050,-64.47836303710938
1712199764.387006,30437,-62.24582290649414
1712199784.7429636,31298,-44.41284942626953
1712199807.4516613,32285,-54.320594787597656
1712199826.6534848,33130,-75.48843383789062
1712199835.933076,33503,-57.219703674316406
1712199837.3039916,33560,-61.495243072509766
1712199856.5639224,34353,-76.7293930053711
1712199858.3224492,34426,-68.09365844726562
1712199866.6308997,34760,-52.05885314941406
1712199897.2129982,36071,-70.91879272460938
1712199901.735705,36263,-70.7293472290039
1712199920.7444077,37070,-72.58332061767578
1712199942.0237586,37947,-69.63731384277344
1712200015.712371,41044,-63.18049240112305
1712200039.943847,42043,-61.79030990600586
1712200045.1473594,42267,-56.788490295410156
1712200061.0595174,43000,-77.25550079345703
1712200071.5991187,43455,-76.55054473876953
1712200072.253993,43475,-76.62178039550781
1712200134.4670637,46079,-74.40485382080078
1712200285.8782613,51751,-53.85300064086914
1712200325.606934,53053,-52.92204284667969
1712200327.8390791,53128,-51.78517150878906
1712200334.8936474,53347,-48.407649993896484
1712200339.2458851,53479,-54.15367126464844
1712200340.7028246,53546,-54.609615325927734
1712200360.932887,54188,-53.458824157714844
1712200400.2703595,55509,-51.86143112182617
1712200400.8778214,55526,-52.65470886230469
1712200411.4292583,55856,-52.427085876464844
1712200430.1369867,56497,-71.85033416748047
1712200434.9502623,56651,-59.650203704833984
1712200455.8580055,57314,-39.502323150634766
1712200460.6031392,57466,-39.312294006347656
1712200468.6142812,57719,-34.48080825805664
1712200473.5414324,57867,-47.60478210449219
1712200494.2620113,58533,-41.484214782714844
1712200501.2398994,58775,-42.503929138183594
1712200510.2165856,59050,-49.49809646606445
1712200524.6481192,59483,-38.24209213256836
1712200540.7349184,59978,-29.177461624145508
1712200549.5831826,60264,-56.157352447509766
1712200609.5708117,62061,-46.83041763305664
1712200668.9869769,63854,-55.119651794433594
1712200669.6351469,63868,-54.072940826416016
1712200679.8579276,64162,-33.16971206665039
1712200680.2342873,64173,-33.01679611206055
1712200700.3690786,64798,-53.3288459777832
1712200731.6917527,65738,-65.01358795166016
1712200741.9481108,66046,-51.869659423828125
1712200755.281517,66466,-44.05630874633789
1712200769.7919137,66891,-62.63227844238281
1712200771.3420234,66932,-62.664093017578125
1712200821.8137548,68468,-25.617752075195312
1712200849.4111996,69311,-8.826762199401855
1712200898.1700208,70950,-67.56327056884766
1712200907.7094824,71264,-55.366336822509766
1712200924.2375185,71762,-18.284347534179688
1712200950.1886768,72528,-26.327486038208008
1712200971.911134,73177,-40.56619644165039
1712200981.4698641,73463,-15.296904563903809
1712201006.148098,74172,-45.72627639770508
1712201010.2238927,74274,-32.772281646728516
1712201014.6705143,74401,-47.995601654052734
1712201016.6513386,74454,-42.08202362060547
1712201031.2826316,74853,-34.05470275878906
1712201047.7080224,75327,-33.467735290527344
1712201095.7070813,76685,-34.775177001953125
1712201137.583957,77883,-54.460227966308594
1712201179.8383691,79058,-53.54085159301758
1712201191.6728013,79412,-45.20523452758789
1712201217.5887403,80142,-68.55419158935547
1712201246.370406,80925,-62.603553771972656
1712201258.741791,81276,-56.867095947265625
1712201328.518665,83133,-66.62810516357422
1712201352.0411692,83767,-85.4502944946289
1712201365.7670393,84148,-83.57697296142578
1712201368.929166,84252,-83.24075317382812
1712201390.8011386,84836,-86.36792755126953
1712201426.0843043,85780,-89.79126739501953
1712201437.5261593,86078,-95.11473083496094
1712201471.2450337,86965,-101.41014862060547
1712201501.8852026,87815,-100.68183898925781
1712201563.5037777,89427,-90.83717346191406
1712201573.7317739,89713,-96.61031341552734
1712201725.951257,93935,-95.4160385131836
1712201799.8511884,96076,-129.6024932861328
1712201803.084036,96178,-128.9114990234375
1712201832.3866057,96991,-112.0513916015625
1712201892.2590103,98611,-113.36506652832031
1712201936.8263838,99826,-111.65534210205078
1712201983.8828318,101103,-130.1002655029297
1712201991.6119754,101321,-129.13880920410156
1712202000.9696198,101587,-136.89671325683594
1712202021.8766909,102153,-129.00729370117188
1712202062.6881409,103275,-142.18896484375
1712202110.6757379,104628,-136.28915405273438
1712202114.8313005,104747,-134.448974609375
1712202122.7948785,104996,-133.2964630126953
1712202156.3776069,105952,-132.6226348876953
1712202184.875013,106784,-127.832275390625
1712202389.7602348,112794,-97.07402801513672
1712202404.6227403,113235,-96.5478744506836
1712202407.709357,113330,-95.49089050292969
1712202472.6983767,115385,-93.91385650634766
1712202479.2264228,115587,-93.29448699951172
1712202506.7784648,116478,-85.67927551269531
1712202553.216465,117901,-94.02742767333984
1712202571.4591348,118487,-95.77754974365234
1712202606.0508235,119488,-94.98737335205078
1712202626.248252,120120,-95.2216567993164
1712202649.5884905,120789,-91.11434936523438
1712202663.1483564,121198,-86.52301025390625
1712202713.217753,122839,-82.19627380371094
1712202748.3591523,124070,-78.48470306396484
1712202812.7582023,126182,-88.98846435546875
1712202878.1867504,128531,-89.484130859375
1712202943.7556887,130667,-87.25567626953125
1712202955.9315548,131024,-82.3963851928711
1712203038.2942538,133689,-82.88038635253906
1712203271.7279916,141426,-74.463623046875
1712203358.8289814,143893,-74.24583435058594
1712203398.8682697,145050,-78.61064910888672
1712203504.2601707,147881,-73.20587158203125
1712203554.4461112,149287,-80.0425796508789
1712203572.9133635,149810,-79.78593444824219
1712203673.143276,152720,-100.69977569580078
1712203703.5669875,153644,-100.64421081542969
1712203723.5286026,154292,-85.91399383544922
1712203795.968497,156553,-96.74549102783203
1712203875.9164815,159073,-116.61498260498047
1712203911.9415894,160122,-106.760986328125
1712203917.932096,160258,-116.78457641601562
1712204036.715992,162980,-164.58648681640625
1712204062.4704354,163550,-165.1134490966797
1712204114.3231087,164668,-160.9951171875
1712204190.0259402,166330,-167.8504180908203
1712204193.2656796,166401,-166.1305389404297
1712204226.634531,167129,-154.77346801757812
1712204228.1063771,167162,-157.6992645263672
1712204235.1649337,167304,-156.54100036621094
1712204241.2678761,167439,-157.9246063232422
1712204454.597773,172030,-177.1352996826172
1712204486.1429312,172721,-168.91757202148438
1712204504.0146542,173099,-174.44680786132812
1712204511.6217928,173248,-169.72654724121094
1712204533.9179049,173734,-174.32997131347656
1712204540.7437162,173887,-177.487548828125
